_id,brand,website_id,price_offer_price,price_regular_price,price_basket_price,5da94f4e6d97010001f81d72,5da94f270ffeca000172b12e,5d0cc7b68a66a100014acdb0,5da94ef80ffeca000172b12c,5da94e940ffeca000172b12a
5da81e4f7d3a9baa211f8440,zimmermann,5da6d40110309200045874e6,340.0,850.0,340.0,,,430.0,,
5da81d2c7861c2af6a5a8c50,alaïa,5da6d40110309200045874e6,1010.0,1010.0,1010.0,,,,,1010.0
5db80fbad5424ee1f33522c9,maison michel,5da6d40110309200045874e6,148.0,148.0,153.0,,,375.0,,
5da81f0b7f3e301b4504b992,maison michel,5da6d40110309200045874e6,336.0,840.0,336.0,,,,425.0,
5da81d457861c2af6a5a8dbd,aeydē,5da6d40110309200045874e6,219.0,365.0,219.0,,,290.0,,
5da822846504fb65d41c59e9,aeydē,5da6d40110309200045874e6,220.0,220.0,220.0,,,225.0,,
5da81ef27861c2af6a5a9241,aeydē,5da6d40110309200045874e6,154.0,154.0,159.0,,,220.0,,
5da81a4e7f3e301b4504b2d2,aeydē,5da6d40110309200045874e6,146.0,365.0,151.0,,,292.0,,
5da82183b25b035d1d17b739,by far,5da6d40110309200045874e6,495.0,495.0,495.0,,,488.0,,
5da81b247f3e301b4504b45c,by far,5da6d40110309200045874e6,246.0,410.0,246.0,,,,,296.0
5db81002d5424ee1f3352587,by far,5da6d40110309200045874e6,115.5,385.0,120.5,,,,120.0,
5da81ca16504fb65cb261811,off-white,5da6d40110309200045874e6,485.0,970.0,485.0,,,495.0,,679.0
5da81f696504fb65d41c57ff,etro,5da6d40110309200045874e6,935.0,935.0,935.0,,,940.0,,
5da821d3b25b035d1d17bc07,moschino,5da6d40110309200045874e6,1585.0,1585.0,1585.0,,,798.0,,
5da81f2a7861c2af6a5a94bf,moschino,5da6d40110309200045874e6,1120.0,1120.0,1120.0,,,453.0,,
5da821ca6504fb65da00557c,moschino,5da6d40110309200045874e6,560.0,560.0,560.0,,,788.0,,
5da82193465e00845f490c76,moschino,5da6d40110309200045874e6,515.0,515.0,515.0,,,367.0,,
5da8215ab25b035d1d17b490,moschino,5da6d40110309200045874e6,357.0,595.0,357.0,,,401.0,,
5da82080b25b035d1d17b25b,moschino,5da6d40110309200045874e6,111.0,370.0,116.0,,,158.0,,
5da81f2a7861c2af6a5a94cd,moschino,5da6d40110309200045874e6,650.0,650.0,650.0,,,656.0,,
5da821506504fb65da004b76,moschino,5da6d40110309200045874e6,147.0,147.0,152.0,,,114.0,,
5da81b247f3e301b4504b476,moschino,5da6d40110309200045874e6,240.0,240.0,240.0,245.0,,129.0,,
5da821b66504fb65da0053a4,alexander mcqueen,5da6d40110309200045874e6,2285.0,2285.0,2285.0,4575.0,,,,
5da821606504fb65da004ca7,alexander mcqueen,5da6d40110309200045874e6,1056.0,1056.0,1056.0,,,2282.0,,
5da821f16504fb65da0056cd,alexander mcqueen,5da6d40110309200045874e6,1470.0,2450.0,1470.0,,,1353.0,,
5da82155b25b035d1d17b3fc,alexander mcqueen,5da6d40110309200045874e6,1820.0,3640.0,1820.0,,,3645.0,,
5da8207d6504fb65da003bc2,alexander mcqueen,5da6d40110309200045874e6,728.0,1820.0,728.0,,,,,1274.0
5da820a96504fb65da004005,alexander mcqueen,5da6d40110309200045874e6,658.0,1645.0,658.0,,,1486.0,827.0,
5da81e97b25b035d1d17b09a,alexander mcqueen,5da6d40110309200045874e6,1016.0,2540.0,1016.0,,,1783.0,1529.0,
5da821966504fb65da005076,alexander mcqueen,5da6d40110309200045874e6,2370.0,2370.0,2370.0,,,,,2370.0
5da81d547861c2af6a5a8ea2,alexander mcqueen,5da6d40110309200045874e6,1635.0,3270.0,1635.0,,,1500.0,,
5da821c36504fb65da0054ad,alexander mcqueen,5da6d40110309200045874e6,895.0,1790.0,895.0,,,1800.0,,
5da82248465e00845f490cdf,alexander mcqueen,5da6d40110309200045874e6,1185.0,1185.0,1185.0,,,2375.0,,
5da81f197861c2af6a5a941b,alexander mcqueen,5da6d40110309200045874e6,356.0,890.0,356.0,,,856.0,,
5da820986504fb65da003e19,saint laurent,5da6d40110309200045874e6,1900.0,1900.0,1900.0,,,2195.0,,
5db810d1d5424ee1f3352bfa,saint laurent,5da6d40110309200045874e6,1985.0,1985.0,1985.0,,,1990.0,,
5da821c36504fb65da0054a6,saint laurent,5da6d40110309200045874e6,2595.0,2595.0,2595.0,,2505.0,,,
5da81b4d6504fb65cea700ab,saint laurent,5da6d40110309200045874e6,775.0,775.0,775.0,,,790.0,,
5da8218fb25b035d1d17b7ea,saint laurent,5da6d40110309200045874e6,170.0,425.0,175.0,,,332.0,,420.0
5da820636504fb65da003a3e,saint laurent,5da6d40110309200045874e6,685.0,685.0,685.0,,,,,685.0
5da821a96504fb65da00528c,saint laurent,5da6d40110309200045874e6,1900.0,1900.0,1900.0,,,1163.0,,1725.0
5da821fa6504fb65da005780,saint laurent,5da6d40110309200045874e6,685.0,685.0,685.0,,,,,685.0
